edgeID,hour,vehicles
47528,MIDNIGHT,16
47528,ONEAM,6
47528,TWOAM,5
47528,THREEAM,5
47528,FOURAM,18
47528,FIVEAM,94
47528,SIXAM,255
47528,SEVENAM,687
47528,EIGHTAM,1130
47528,NINEAM,733
47528,TENAM,634
47528,ELEVENAM,636
47528,NOON,616
47528,ONEPM,593
47528,TWOPM,628
47528,THREEPM,836
47528,FOURPM,901
47528,FIVEPM,1018
47528,SIXPM,765
47528,SEVENPM,492
47528,EIGHTPM,306
47528,NINEPM,202
47528,TENPM,147
47528,ELEVENPM,76
59425,MIDNIGHT,9
59425,ONEAM,3
59425,TWOAM,3
59425,THREEAM,3
59425,FOURAM,10
59425,FIVEAM,54
59425,SIXAM,146
59425,SEVENAM,395
59425,EIGHTAM,650
59425,NINEAM,422
59425,TENAM,364
59425,ELEVENAM,366
59425,NOON,354
59425,ONEPM,341
59425,TWOPM,361
59425,THREEPM,481
59425,FOURPM,518
59425,FIVEPM,585
59425,SIXPM,440
59425,SEVENPM,283
59425,EIGHTPM,176
59425,NINEPM,116
59425,TENPM,84
59425,ELEVENPM,44
71095,MIDNIGHT,64
71095,ONEAM,25
71095,TWOAM,21
71095,THREEAM,21
71095,FOURAM,73
71095,FIVEAM,374
71095,SIXAM,1016
71095,SEVENAM,2738
71095,EIGHTAM,4504
71095,NINEAM,2924
71095,TENAM,2527
71095,ELEVENAM,2536
71095,NOON,2454
71095,ONEPM,2364
71095,TWOPM,2502
71095,THREEPM,3333
71095,FOURPM,3591
71095,FIVEPM,4056
71095,SIXPM,3049
71095,SEVENPM,1963
71095,EIGHTPM,1223
71095,NINEPM,805
71095,TENPM,585
71095,ELEVENPM,305
79227,MIDNIGHT,10
79227,ONEAM,4
79227,TWOAM,3
79227,THREEAM,3
79227,FOURAM,11
79227,FIVEAM,59
79227,SIXAM,160
79227,SEVENAM,432
79227,EIGHTAM,710
79227,NINEAM,461
79227,TENAM,398
79227,ELEVENAM,400
79227,NOON,387
79227,ONEPM,373
79227,TWOPM,394
79227,THREEPM,525
79227,FOURPM,566
79227,FIVEPM,640
79227,SIXPM,481
79227,SEVENPM,309
79227,EIGHTPM,192
79227,NINEPM,127
79227,TENPM,92
79227,ELEVENPM,48
78868,MIDNIGHT,46
78868,ONEAM,18
78868,TWOAM,15
78868,THREEAM,15
78868,FOURAM,52
78868,FIVEAM,268
78868,SIXAM,727
78868,SEVENAM,1961
78868,EIGHTAM,3225
78868,NINEAM,2093
78868,TENAM,1809
78868,ELEVENAM,1816
78868,NOON,1757
78868,ONEPM,1692
78868,TWOPM,1791
78868,THREEPM,2386
78868,FOURPM,2571
78868,FIVEPM,2904
78868,SIXPM,2183
78868,SEVENPM,1406
78868,EIGHTPM,875
78868,NINEPM,576
78868,TENPM,419
78868,ELEVENPM,218
79103,MIDNIGHT,46
79103,ONEAM,18
79103,TWOAM,15
79103,THREEAM,15
79103,FOURAM,52
79103,FIVEAM,268
79103,SIXAM,727
79103,SEVENAM,1961
79103,EIGHTAM,3225
79103,NINEAM,2093
79103,TENAM,1810
79103,ELEVENAM,1816
79103,NOON,1757
79103,ONEPM,1692
79103,TWOPM,1791
79103,THREEPM,2386
79103,FOURPM,2571
79103,FIVEPM,2904
79103,SIXPM,2183
79103,SEVENPM,1406
79103,EIGHTPM,875
79103,NINEPM,576
79103,TENPM,419
79103,ELEVENPM,218
64522,MIDNIGHT,22
64522,ONEAM,8
64522,TWOAM,7
64522,THREEAM,7
64522,FOURAM,25
64522,FIVEAM,129
64522,SIXAM,352
64522,SEVENAM,948
64522,EIGHTAM,1560
64522,NINEAM,1013
64522,TENAM,875
