X,Y,Operator,Opref,Sitengr,Antennaht,Transtype,Freqband,Anttype,Powerdbw,Maxpwrdbw,Maxpwrdbm,Sitelat,Sitelng,pcd_sector,geo_code
451431.1401,205719.367,Airwave,TVY020A,SP5132805770,29.6,TETRA,400,Directional,21,25,,51.747819,-1.256424,OX1 1,38
451421.1891,205686.3413,O2,865,SP5131805737,20,GSM,900,Sectored,23,32,,51.747523,-1.256573,OX1 1,38
451421.1891,205686.3413,O2,865,SP5131805737,20,UMTS,900,Sectored,26,32,,51.747523,-1.256573,OX1 1,38
451353.1219,206099.3154,O2,11828,SP5125006150,5,GSM,900,Microcell,10.74,32,,51.751242,-1.257498,OX1 1,38
450630.0803,206189.3377,O2,18243,SP5052706240,13.89,GSM,900,Microcell,27.5,32,,51.752117,-1.267958,OX1 1,38
451421.1891,205686.3413,O2,865,SP5131805737,20,GSM,1800,Sectored,24,32,,51.747523,-1.256573,OX1 1,38
451421.1891,205686.3413,O2,865,SP5131805737,20,UMTS,2100,Sectored,27,,65,51.747523,-1.256573,OX1 1,38
450630.0803,206189.3377,O2,18243,SP5052706240,13.89,UMTS,2100,Sectored,27.99,,65,51.752117,-1.267958,OX1 1,38
450903.0881,206199.4248,Orange,OXF0127,SP5080006250,20,GSM,1800,SECTOR,31.4,32,,51.752183,-1.264002,OX1 1,38
450903.0881,206199.4248,Orange,OXF0127,SP5080006250,20,UMTS,2100,SECTOR,30.3,,65,51.752183,-1.264002,OX1 1,38
450903.0971,205849.3824,Orange,OXF7014,SP5080005900,7.5,GSM,1800,SECTOR,24.5,32,,51.749036,-1.264053,OX1 1,38
450903.0971,205849.3824,Orange,OXF7014,SP5080005900,7.5,UMTS,2100,SECTOR,21,,65,51.749036,-1.264053,OX1 1,38
450903.1334,206174.3984,Three,OX0343,SP5080006225,28,UMTS,2100,Sectored,18.7,,65,51.751958,-1.264005,OX1 1,38
451258.1453,206097.3489,T-Mobile,71395,SP5115506148,4,GSM,1800,SECTOR,9,32,,51.751233,-1.258874,OX1 1,38
451485.158,205967.2948,T-Mobile,71404,SP5138206018,3,GSM,1800,SECTOR,11,32,,51.750043,-1.255605,OX1 1,38
451485.158,205967.2948,T-Mobile,71404,SP5138206018,3,GSM,1800,SECTOR,11,32,,51.750043,-1.255605,OX1 1,38
451330.1827,205999.3081,T-Mobile,71405,SP5122706050,4,GSM,1800,SECTOR,11,32,,51.750345,-1.257845,OX1 1,38
451330.1827,205999.3081,T-Mobile,71405,SP5122706050,4,GSM,1800,SECTOR,11,32,,51.750345,-1.257845,OX1 1,38
451409.1914,205820.3634,T-Mobile,71411,SP5130605871,4,GSM,1800,SECTOR,10,32,,51.748729,-1.256727,OX1 1,38
451508.1695,205816.367,T-Mobile,71414,SP5140505867,4,GSM,1800,SECTOR,10,32,,51.748684,-1.255294,OX1 1,38
451369.1692,205811.3912,T-Mobile,71416,SP5126605862,4,GSM,1800,SECTOR,11,32,,51.748652,-1.257308,OX1 1,38
450903.1334,206174.3984,T-Mobile,93311,SP5080006225,22,GSM,1800,SECTOR,27,32,,51.751958,-1.264005,OX1 1,38
450903.1334,206174.3984,T-Mobile,93311,SP5080006225,22,GSM,1800,SECTOR,27,32,,51.751958,-1.264005,OX1 1,38
450903.1334,206174.3984,T-Mobile,93311,SP5080006225,22,GSM,1800,SECTOR,26,32,,51.751958,-1.264005,OX1 1,38
450903.1334,206174.3984,T-Mobile,93311,SP5080006225,22,UMTS,2100,SECTOR,19,,65,51.751958,-1.264005,OX1 1,38
450903.1334,206174.3984,T-Mobile,93311,SP5080006225,22,UMTS,2100,SECTOR,19,,65,51.751958,-1.264005,OX1 1,38
450903.1334,206174.3984,T-Mobile,93311,SP5080006225,22,UMTS,2100,SECTOR,19,,65,51.751958,-1.264005,OX1 1,38
450975.1314,205874.3575,Vodafone,1176,SP5087205925,19.05,GSM,900,Macro,24.4,32,,51.749254,-1.263006,OX1 1,38
450975.1314,205874.3575,Vodafone,1176,SP5087205925,19.05,GSM,900,Macro,24.4,32,,51.749254,-1.263006,OX1 1,38
450975.1314,205874.3575,Vodafone,1176,SP5087205925,19.05,GSM,900,Macro,24.4,32,,51.749254,-1.263006,OX1 1,38
450975.1314,205874.3575,Vodafone,1176,SP5087205925,19.05,UMTS,2100,Macro,28.9,,65,51.749254,-1.263006,OX1 1,38
450975.1314,205874.3575,Vodafone,1176,SP5087205925,19.05,UMTS,2100,Macro,28.9,,65,51.749254,-1.263006,OX1 1,38
450975.1314,205874.3575,Vodafone,1176,SP5087205925,19.05,UMTS,2100,Macro,28.9,,65,51.749254,-1.263006,OX1 1,38
451335.1557,206087.3422,Vodafone,31901,SP5123206138,4,GSM,900,Micro,7.5,32,,51.751136,-1.25776,OX1 1,38
451053.1336,206899.4691,Orange,OXF7008,SP5095006950,12,GSM,1800,SECTOR,23,32,,51.758463,-1.261726,OX1 2,38
